Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Guatemala,GTM,40.9,40.9,40.9,40.9,39.9,37.5,35.2,35.2,35.2,35.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Guinea,GIN,78.7,83.1,83.1,61.4,61.4,61.4,61.4,61.4,61.4,69.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Guinea-Bissau,GNB,45.9,45.9,45.9,45.5,45.5,45.5,45.5,45.5,45.5,45.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Guyana,GUY,38.8,35.9,35.9,32,32.3,32.3,32.3,32.3,30.6,30.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Haiti,HTI,40.4,40.4,40.4,40.3,40.3,40.3,40.3,42.8,42.7,42.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Honduras,HND,37.2,38.7,35.1,38.5,37.7,40.2,40.2,40.5,40.8,39.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Hong Kong, China",HKG,23,23,23,22.6,22.8,22.8,22.9,22.9,22.9,21.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Hungary,HUN,54.5,51.8,49.7,49.2,47.9,48.2,46.3,46.4,40.3,37.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Iceland,ISL,26.4,30.3,31.1,30.3,30.3,30.1,30.1,29.9,30.6,31.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,India,IND,..,..,..,55.7,55.5,55.5,56.2,56.2,52.1,49.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Indonesia,IDN,..,..,..,32.2,31.4,29.7,30.6,30,30.1,30.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Iran, Islamic Rep.",IRN,44.1,44.1,44.1,44.1,44.1,44.1,44.7,44.7,44.7,44.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Iraq,IRQ,29.9,29.9,29.9,31.5,31.5,31.5,31.5,30.8,30.8,30.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Ireland,IRL,25.4,25.5,25.6,25.9,26,26,26,26,26,26.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Israel,ISR,27.5,26.8,25.6,26.4,26.7,27.9,28.1,27,26.2,25.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Italy,ITA,67.6,67.6,67.6,65.6,65.2,64.8,62,48,53.1,59.1
